Samples	Sig1	Sig2	Sig3	Sig4	Sig5	Sig6	Sig7	Sig8	Sig9
Bladder-TCC::SP1009	13451	0	0	0	0	0	0	0	0
Bladder-TCC::SP1724	14030	0	0	0	0	0	0	0	0
Bladder-TCC::SP96136	51896	0	0	0	0	0	0	0	0
Bladder-TCC::SP967	3451	0	0	0	0	0	0	0	0
Bladder-TCC::SP1781	38004	0	0	0	0	0	0	0	0
Bladder-TCC::SP1174	13331	0	0	0	0	0	0	0	0
Bladder-TCC::SP953	34842	0	0	0	0	0	0	0	0
Bladder-TCC::SP1377	10131	0	0	0	0	0	0	0	0
Bladder-TCC::SP1365	9621	0	0	0	0	0	0	0	0
Bladder-TCC::SP1491	12007	0	0	0	0	0	0	0	0
Bone-Benign::SP116536	1627	0	0	0	0	0	0	0	0
Bone-Benign::SP116539	670	0	0	0	0	0	0	0	0
Bone-Benign::SP116542	773	0	0	0	0	0	0	0	0
Bone-Benign::SP116545	628	0	0	0	0	0	0	0	0
Bone-Benign::SP116548	842	0	0	0	0	0	0	0	0
Bone-Benign::SP116550	361	0	0	0	0	0	0	0	0
Bone-Benign::SP116553	631	0	0	0	0	0	0	0	0
Bone-Benign::SP116557	372	0	0	0	0	0	0	0	0
Bone-Benign::SP116559	880	0	0	0	0	0	0	0	0
Bone-Benign::SP116562	1062	0	0	0	0	0	0	0	0
Bone-Benign::SP116564	737	0	0	0	0	0	0	0	0
Bone-Benign::SP116571	1009	0	0	0	0	0	0	0	0
Bone-Benign::SP116393	117	0	0	0	0	0	0	0	0
Bone-Benign::SP116442	381	0	0	0	0	0	0	0	0
Bone-Benign::SP116446	181	0	0	0	0	0	0	0	0
Bone-Benign::SP116448	80	0	0	0	0	0	0	0	0
Bone-Epith::SP116419	2810	0	0	0	0	0	0	0	0
Bone-Epith::SP116383	5556	0	0	0	0	0	0	0	0
Bone-Epith::SP116385	2561	0	0	0	0	0	0	0	0
Bone-Epith::SP116440	1776	0	0	0	0	0	0	0	0
Bone-Epith::SP116450	3740	0	0	0	0	0	0	0	0
Bone-Epith::SP116493	1742	0	0	0	0	0	0	0	0
Bone-Epith::SP116391	1547	0	0	0	0	0	0	0	0
Bone-Epith::SP116401	1809	0	0	0	0	0	0	0	0
Bone-Epith::SP116409	2665	0	0	0	0	0	0	0	0
Bone-Epith::SP116416	1130	0	0	0	0	0	0	0	0
Bone-Epith::SP116424	786	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116515	1900	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116499	4661	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116505	2521	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116509	7394	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116437	1288	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116512	5862	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116465	2011	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116496	9510	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116525	4766	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116481	3725	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116586	3675	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116528	5032	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116589	9231	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116406	2729	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116484	1133	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116453	2475	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116469	2927	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116578	5163	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116531	1195	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116593	3620	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116487	1785	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116456	2367	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116472	6132	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116518	14101	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116412	2505	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116534	1582	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116596	6735	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116490	5057	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116459	5883	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116475	2939	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116520	6217	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116431	9052	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116582	6988	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116599	2588	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116478	4463	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116462	1752	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116523	3083	0	0	0	0	0	0	0	0
Bone-Osteosarc::SP116434	414	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117956	1929	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117975	2500	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2149	11020	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117113	2117	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117245	2538	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117402	3967	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117136	1493	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117378	1843	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116947	2707	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117369	55654	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117244	2300	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117162	2998	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117079	3169	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117344	4655	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP118074	6879	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117598	1961	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117312	2240	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP118038	9242	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117552	1255	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP118073	1892	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117933	1203	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP118012	1712	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117108	1942	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117812	1673	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117354	3289	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117370	1785	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116991	2546	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117629	5791	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP124199	2850	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP124195	2055	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117850	2062	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117127	1500	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117614	5449	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116948	3107	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117409	7599	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117593	1775	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117372	12716	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP118077	2405	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117840	2028	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117363	4363	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117887	7616	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116946	2951	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117901	6676	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117454	1742	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP124197	23237	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117919	9003	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117250	8476	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117983	3547	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117676	1863	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117011	36115	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117057	2998	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117126	2310	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117728	1993	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117618	1335	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117257	1484	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116963	1621	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117078	5903	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117944	8178	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117639	5730	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117834	5234	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117105	3650	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117785	4439	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117882	2046	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117778	2845	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117032	2303	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117710	2643	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117538	9804	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP124207	8646	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117800	4167	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117724	2867	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP124193	2628	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2293	65065	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2357	10361	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2144	6115	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2145	5909	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2147	12000	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2146	5122	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2148	6788	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2150	3327	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2152	2032	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2349	5938	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2155	8974	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2154	10328	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2158	5746	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2156	4916	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2159	7174	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2153	11161	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2160	2493	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2151	2108	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116341	9847	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116331	5190	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116351	3266	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116371	4580	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116361	10544	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116343	6647	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116333	4623	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116373	9037	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116363	6442	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116353	9946	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116345	2899	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116365	6379	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116375	7871	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116335	6730	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116355	10048	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116347	2670	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116367	8434	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116339	3930	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116349	2883	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116357	7376	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116359	9227	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116369	11559	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116377	8813	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP116379	5097	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP7692	21978	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP5052	18803	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP7785	9473	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP3415	8909	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2799	2445	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP9979	1735	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP5393	4223	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP11292	5441	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP13036	25730	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP7421	13369	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP4875	8206	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP8795	5890	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP4820	7566	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP4593	2186	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP8085	4192	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP11235	4253	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP6730	4541	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP10635	2037	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP5381	1237	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP10084	9084	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP9251	5341	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP3016	8572	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP11045	3972	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2826	3200	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP11171	5989	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP5784	9305	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP8564	5450	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP5844	4489	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP6519	2320	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP6766	1956	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP5448	6818	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP12049	16453	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2714	12274	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2801	4271	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP8891	8066	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP9481	2054	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP5808	11794	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP6429	8785	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP5017	3600	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP8229	3585	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP8157	3847	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP5279	8393	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP8660	8690	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP11878	9916	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP9433	14273	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2881	9312	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP7378	3122	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP9816	7388	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP4265	4439	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2793	14769	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP6825	15024	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP4523	3890	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP9930	15804	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP5820	4520	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP10470	11119	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP9648	11830	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP4535	2041	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP11808	3646	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP96163	10077	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP11948	8446	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP4557	4571	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP96147	3445	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP10150	7844	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP4472	6857	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP6813	11946	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP96511	14761	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP5636	3175	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP5559	21520	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP3631	31634	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP5473	6243	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP8394	4452	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP6115	2342	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP7291	2800	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2997	3654	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP8831	18109	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2731	2791	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP6223	8351	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP7171	3846	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP10563	5004	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP8987	10898	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP5980	10286	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP12186	9593	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP10944	13609	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2766	7809	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP6673	23022	0	0	0	0	0	0	0	0
Breast-DCIS::SP117698	2114	0	0	0	0	0	0	0	0
Breast-DCIS::SP124201	1768	0	0	0	0	0	0	0	0
Breast-DCIS::SP2143	2133	0	0	0	0	0	0	0	0
Breast-LobularCA::SP124191	2114	0	0	0	0	0	0	0	0
Breast-LobularCA::SP117247	2903	0	0	0	0	0	0	0	0
Breast-LobularCA::SP117362	2440	0	0	0	0	0	0	0	0
Breast-LobularCA::SP117470	10260	0	0	0	0	0	0	0	0
Breast-LobularCA::SP117586	1478	0	0	0	0	0	0	0	0
Breast-LobularCA::SP117709	1803	0	0	0	0	0	0	0	0
Breast-LobularCA::SP2157	1770	0	0	0	0	0	0	0	0
Breast-LobularCA::SP3368	3003	0	0	0	0	0	0	0	0
Breast-LobularCA::SP5666	5074	0	0	0	0	0	0	0	0
Breast-LobularCA::SP2781	3301	0	0	0	0	0	0	0	0
Breast-LobularCA::SP8532	16288	0	0	0	0	0	0	0	0
Breast-LobularCA::SP12856	43929	0	0	0	0	0	0	0	0
Breast-LobularCA::SP7456	2637	0	0	0	0	0	0	0	0
CNS-GBM::SP24708	7719	0	0	0	0	0	0	0	0
CNS-GBM::SP24301	7280	0	0	0	0	0	0	0	0
CNS-GBM::SP27201	6750	0	0	0	0	0	0	0	0
CNS-GBM::SP28791	3247	0	0	0	0	0	0	0	0
CNS-GBM::SP23739	6661	0	0	0	0	0	0	0	0
CNS-GBM::SP24702	7952	0	0	0	0	0	0	0	0
CNS-GBM::SP25332	1746	0	0	0	0	0	0	0	0
CNS-GBM::SP28335	8102	0	0	0	0	0	0	0	0
CNS-GBM::SP26709	4420	0	0	0	0	0	0	0	0
CNS-GBM::SP25350	6948	0	0	0	0	0	0	0	0
CNS-GBM::SP25380	8189	0	0	0	0	0	0	0	0
CNS-GBM::SP24565	5511	0	0	0	0	0	0	0	0
CNS-GBM::SP25833	6940	0	0	0	0	0	0	0	0
CNS-GBM::SP25905	6069	0	0	0	0	0	0	0	0
CNS-GBM::SP26439	4918	0	0	0	0	0	0	0	0
CNS-GBM::SP24236	10957	0	0	0	0	0	0	0	0
CNS-GBM::SP23925	8219	0	0	0	0	0	0	0	0
CNS-GBM::SP24815	11161	0	0	0	0	0	0	0	0
CNS-GBM::SP27957	8484	0	0	0	0	0	0	0	0
CNS-GBM::SP27603	8703	0	0	0	0	0	0	0	0
CNS-GBM::SP27825	8425	0	0	0	0	0	0	0	0
CNS-GBM::SP24135	8621	0	0	0	0	0	0	0	0
CNS-GBM::SP26499	3530	0	0	0	0	0	0	0	0
CNS-GBM::SP25518	10609	0	0	0	0	0	0	0	0
CNS-GBM::SP28659	10020	0	0	0	0	0	0	0	0
CNS-GBM::SP23622	5062	0	0	0	0	0	0	0	0
CNS-GBM::SP27939	5699	0	0	0	0	0	0	0	0
CNS-GBM::SP23754	3100	0	0	0	0	0	0	0	0
CNS-GBM::SP29697	4171	0	0	0	0	0	0	0	0
CNS-GBM::SP27339	5215	0	0	0	0	0	0	0	0
CNS-GBM::SP29559	4957	0	0	0	0	0	0	0	0
CNS-GBM::SP29331	7792	0	0	0	0	0	0	0	0
CNS-GBM::SP26475	6028	0	0	0	0	0	0	0	0
CNS-GBM::SP23775	11997	0	0	0	0	0	0	0	0
CNS-GBM::SP28275	6148	0	0	0	0	0	0	0	0
CNS-GBM::SP28581	7243	0	0	0	0	0	0	0	0
CNS-GBM::SP23639	7153	0	0	0	0	0	0	0	0
CNS-GBM::SP24391	6813	0	0	0	0	0	0	0	0
CNS-GBM::SP28041	11281	0	0	0	0	0	0	0	0
CNS-GBM::SP25494	245043	0	0	0	0	0	0	0	0
CNS-GBM::SP26649	4957	0	0	0	0	0	0	0	0
CNS-Medullo::SP78927	308	0	0	0	0	0	0	0	0
CNS-Medullo::SP78913	1507	0	0	0	0	0	0	0	0
CNS-Medullo::SP107375	4051	0	0	0	0	0	0	0	0
CNS-Medullo::SP107408	2510	0	0	0	0	0	0	0	0
CNS-Medullo::SP107439	1938	0	0	0	0	0	0	0	0
CNS-Medullo::SP78816	653	0	0	0	0	0	0	0	0
CNS-Medullo::SP78663	1729	0	0	0	0	0	0	0	0
CNS-Medullo::SP78709	1349	0	0	0	0	0	0	0	0
CNS-Medullo::SP107462	1436	0	0	0	0	0	0	0	0
CNS-Medullo::SP78951	1119	0	0	0	0	0	0	0	0
CNS-Medullo::SP107435	2850	0	0	0	0	0	0	0	0
CNS-Medullo::SP78679	2484	0	0	0	0	0	0	0	0
CNS-Medullo::SP107360	1496	0	0	0	0	0	0	0	0
CNS-Medullo::SP78819	438	0	0	0	0	0	0	0	0
CNS-Medullo::SP78821	2260	0	0	0	0	0	0	0	0
CNS-Medullo::SP107552	572	0	0	0	0	0	0	0	0
CNS-Medullo::SP78865	706	0	0	0	0	0	0	0	0
CNS-Medullo::SP107470	938	0	0	0	0	0	0	0	0
CNS-Medullo::SP78673	1151	0	0	0	0	0	0	0	0
CNS-Medullo::SP78824	503	0	0	0	0	0	0	0	0
CNS-Medullo::SP107550	443	0	0	0	0	0	0	0	0
CNS-Medullo::SP78718	1603	0	0	0	0	0	0	0	0
CNS-Medullo::SP107451	1112	0	0	0	0	0	0	0	0
CNS-Medullo::SP107557	533	0	0	0	0	0	0	0	0
CNS-Medullo::SP107358	1303	0	0	0	0	0	0	0	0
CNS-Medullo::SP78731	769	0	0	0	0	0	0	0	0
CNS-Medullo::SP107455	1428	0	0	0	0	0	0	0	0
CNS-Medullo::SP107549	605	0	0	0	0	0	0	0	0
CNS-Medullo::SP78814	1755	0	0	0	0	0	0	0	0
CNS-Medullo::SP107357	3063	0	0	0	0	0	0	0	0
