Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Kidney-RCC::SP37369	3203	0.966	154411015.333	4820824.706%	18148239.599	4785556.098%	0.04449	0.866
Kidney-RCC::SP38759	7609	0.963	366816551.88	4820824.706%	43112663.711	4614465.103%	0.04329	0.874
Kidney-RCC::SP36218	3740	0.965	180298844.004	4820824.706%	21190885.581	4745763.944%	0.04215	0.865
Kidney-RCC::SP43510	3897	0.919	187867538.793	4820824.706%	22080472.253	4762318.304%	0.10463	0.684
Kidney-RCC::SP43770	4325	0.974	208500668.534	4820824.706%	24505493.518	4702648.819%	0.03694	0.904
Kidney-RCC::SP43651	7222	0.972	348159960.267	4820824.706%	40919939.915	4781293.489%	0.03418	0.89
Kidney-RCC::SP106656	5345	0.922	257673080.536	4820824.706%	30284866.806	4781774.052%	0.09774	0.692
Kidney-RCC::SP97249	6669	0.95	321500799.643	4820824.706%	37786625.411	4614226.258%	0.05546	0.828
Kidney-RCC::SP106638	7277	0.932	350811413.856	4820824.706%	41231597.271	4735264.948%	0.08917	0.74
Kidney-RCC::SP97161	6341	0.952	305688494.607	4820824.706%	35928202.531	4809803.582%	0.06072	0.807
Kidney-RCC::SP43696	6229	0.958	300289170.937	4820824.706%	35293607.853	4833448.487%	0.05625	0.828
Kidney-RCC::SP97113	4307	0.964	207632920.087	4820824.706%	24403512.806	4723892.732%	0.04979	0.863
Kidney-RCC::SP97124	7628	0.941	367732508.574	4820824.706%	43220371.892	4799082.983%	0.07288	0.765
Kidney-RCC::SP43808	3165	0.956	152579101.945	4820824.706%	17932938.465	4832482.566%	0.06006	0.819
Kidney-RCC::SP43822	4969	0.908	239546779.641	4820824.706%	28154372.61	4158986.488%	0.08986	0.782
Kidney-RCC::SP43514	3165	0.955	152579101.945	4820824.706%	17932935.575	4788727.032%	0.06423	0.821
Kidney-RCC::SP97258	5461	0.943	263265237.195	4820824.706%	30942117.523	4829926.647%	0.07591	0.767
Kidney-RCC::SP97194	10282	0.96	495677196.271	4820824.706%	58257962.556	4827037.436%	0.05273	0.839
Kidney-RCC::SP109470	7042	0.96	339482475.797	4820824.706%	39900061.054	4742117.025%	0.05158	0.848
Kidney-RCC::SP97278	5153	0.957	248417097.1	4820824.706%	29196975.681	4829193.114%	0.05274	0.825
Kidney-RCC::SP109544	5015	0.931	241764359.006	4820824.706%	28415070.428	4735851.649%	0.0901	0.734
Kidney-RCC::SP97104	7905	0.945	381086193.009	4820824.706%	44789839.047	4715548.132%	0.05892	0.794
Kidney-RCC::SP106577	6970	0.947	336011482.008	4820824.706%	39492125.675	4782790.687%	0.06294	0.791
Kidney-RCC::SP109457	3637	0.751	175333394.557	4820824.706%	20607232.613	3273344.749%	0.25197	0.596
Kidney-RCC::SP109478	1854	0.967	89378090.049	4820824.706%	10504783.141	4682641.23%	0.04107	0.882
Kidney-RCC::SP43688	3570	0.957	172103442.004	4820824.706%	20227671.762	4805743.757%	0.05362	0.829
Kidney-RCC::SP97243	5376	0.96	259167536.195	4820824.706%	30460501.437	4877558.846%	0.05288	0.831
Kidney-RCC::SP97269	6872	0.966	331287073.796	4820824.706%	38936838.008	4767155.857%	0.04209	0.869
Kidney-RCC::SP113926	2689	0.966	129631976.344	4820824.706%	15235909.656	4796030.315%	0.04554	0.864
Kidney-RCC::SP106560	3713	0.961	178997221.334	4820824.706%	21037910.805	4811900.011%	0.04981	0.843
Kidney-RCC::SP43792	5383	0.931	259504993.924	4820824.706%	30500169.178	4778214.261%	0.08127	0.729
Kidney-RCC::SP106602	4418	0.963	212984035.511	4820824.706%	25032448.591	4799153.057%	0.04989	0.851
Kidney-RCC::SP97145	2330	0.963	112325215.65	4820824.706%	13201803.725	4656496.392%	0.05266	0.87
Kidney-RCC::SP43664	7399	0.96	356692819.997	4820824.706%	41922839.748	4809135.807%	0.05405	0.838
Kidney-RCC::SP43532	4781	0.944	230483629.194	4820824.706%	27089222.295	4798748.519%	0.07241	0.774
Kidney-RCC::SP102816	5072	0.962	453102481.676	8933408.55%	53679674.646	8798551.68%	0.04652	0.859
Kidney-RCC::SP102795	9259	0.975	446360159.529	4820824.706%	52461608.668	4802503.534%	0.03042	0.899
Kidney-RCC::SP103197	7291	0.974	351486329.314	4820824.706%	41310887.472	4750917.519%	0.03355	0.901
Kidney-RCC::SP102827	7527	0.945	362863475.621	4820824.706%	42648081.105	4685383.181%	0.06946	0.796
Kidney-RCC::SP103233	6207	0.963	816527811.425	13154951.046%	99650485.866	13178134.24%	0.04915	0.877
Kidney-RCC::SP103507	19269	0.551	928924712.599	4820824.706%	109178581.783	2969601.509%	0.63857	0.207
Kidney-RCC::SP103100	4243	0.953	204547592.276	4820824.706%	24040882.438	4618355.873%	0.05442	0.838
Kidney-RCC::SP103416	5217	0.942	686293796.07	13154951.046%	83756487.392	12661502.857%	0.07354	0.826
Kidney-RCC::SP103005	4970	0.954	239594987.888	4820824.706%	28160090.613	4775792.427%	0.05158	0.818
Kidney-RCC::SP102759	7556	0.968	364261514.785	4820824.706%	42812390.357	4771297.23%	0.04286	0.873
Kidney-RCC::SP102741	6036	0.968	539220540.102	8933408.55%	63882189.027	8719511.298%	0.03887	0.885
Kidney-RCC::SP102945	4369	0.949	210621831.405	4820824.706%	24754799.863	4601303.658%	0.05487	0.827
Kidney-RCC::SP103826	3873	0.948	345990913.157	8933408.55%	40990029.475	8860953.887%	0.06687	0.801
Kidney-RCC::SP103706	5931	0.956	285923113.313	4820824.706%	33605119.381	4708257.43%	0.05053	0.834
Kidney-RCC::SP102897	27529	0.765	1327124833.315	4820824.706%	155979413.951	3504129.276%	0.28706	0.565
Kidney-RCC::SP102881	5375	0.941	707078618.722	13154951.046%	86293121.721	13019345.516%	0.07327	0.807
Kidney-RCC::SP103715	4835	0.964	233086874.535	4820824.706%	27395167.564	4728304.162%	0.0425	0.862
Kidney-RCC::SP102929	4803	0.966	231544210.629	4820824.706%	27213857.265	4757558.298%	0.04107	0.868
Kidney-RCC::SP103619	2514	0.946	224585890.957	8933408.55%	26606994.735	8514510.784%	0.05963	0.825
Kidney-RCC::SP103844	4289	0.961	383153892.727	8933408.55%	45392769.19	8791849.135%	0.0491	0.856
Kidney-RCC::SP103128	5760	0.961	757725180.25	13154951.046%	92474113.713	13228742.406%	0.05051	0.869
Kidney-RCC::SP103300	6628	0.954	592106318.721	8933408.55%	70147640.492	8617074.05%	0.05772	0.844
Kidney-RCC::SP103057	12227	0.691	1092287863.457	8933408.55%	129404939.101	6759665.103%	0.35867	0.335
Kidney-RCC::SP103340	4177	0.951	201365847.97	4820824.706%	23666928.799	4638016.136%	0.05814	0.828
Kidney-RCC::SP102913	8046	0.962	387883555.845	4820824.706%	45588710.788	4615102.539%	0.04653	0.871
Kidney-RCC::SP102783	9337	0.965	1228277779.165	13154951.046%	149901178.244	13256245.672%	0.04816	0.882
Kidney-RCC::SP103080	10743	0.959	1413236390.872	13154951.046%	172473825.212	12898813.441%	0.04758	0.871
Kidney-RCC::SP103436	4386	0.964	391819299.021	8933408.55%	46419362.577	8666515.037%	0.0445	0.876
Kidney-RCC::SP102804	7206	0.963	347388628.314	4820824.706%	40829287.788	4757159.281%	0.04956	0.855
Kidney-RCC::SP102957	35984	0.417	3214597732.776	8933408.55%	380838487.291	4543371.284%	1.06032	0.086
Kidney-RCC::SP102873	5085	0.96	245138936.3	4820824.706%	28811672.946	4732052.653%	0.04956	0.85
Kidney-RCC::SP103213	3425	0.958	165113246.181	4820824.706%	19406091.819	4712674.165%	0.04838	0.842
Kidney-RCC::SP103467	2255	0.952	201448362.812	8933408.55%	23865858.652	8511749.434%	0.05341	0.846
Kidney-RCC::SP103261	8902	0.954	429149815.328	4820824.706%	50438846.585	4719727.053%	0.05711	0.826
Kidney-RCC::SP103156	6113	0.961	294697014.278	4820824.706%	34636337.029	4759674.356%	0.04367	0.85
Kidney-RCC::SP103288	3178	0.96	153205809.157	4820824.706%	18006579.864	4635117.105%	0.04646	0.861
Kidney-RCC::SP103444	4371	0.944	210718247.899	4820824.706%	24766131.459	4573703.891%	0.06305	0.814
Kidney-RCC::SP103685	4759	0.964	229423047.759	4820824.706%	26964557.525	4788973.489%	0.0468	0.856
Kidney-RCC::SP103140	6817	0.949	328635620.208	4820824.706%	38625219.544	4754093.725%	0.06466	0.801
Kidney-RCC::SP103673	8022	0.871	386726557.915	4820824.706%	45452791.53	4486762.998%	0.14199	0.579
Kidney-RCC::SP102839	4520	0.949	217901276.711	4820824.706%	25610363.278	4561830.759%	0.06052	0.831
Kidney-RCC::SP103245	7656	0.97	369082339.491	4820824.706%	43378983.232	4740660.151%	0.03609	0.887
Kidney-RCC::SP103037	2396	0.962	115506959.956	4820824.706%	13575766.277	4748629.534%	0.048	0.852
Kidney-RCC::SP103408	5955	0.966	287080111.242	4820824.706%	33741101.829	4748054.786%	0.04289	0.871
Kidney-RCC::SP103021	5819	0.959	765486601.367	13154951.046%	93421333.33	13247548.61%	0.05494	0.863
Kidney-RCC::SP103679	5616	0.955	1339647253.402	23854117.76%	164879199.534	22790986.166%	0.04964	0.875
Kidney-RCC::SP103065	7184	0.97	346328046.879	4820824.706%	40704627.37	4745295.929%	0.03647	0.884
Kidney-RCC::SP102965	4883	0.96	235400870.394	4820824.706%	27667143.329	4771495.138%	0.05306	0.843
Kidney-RCC::SP103221	7313	0.968	653300167.291	8933408.55%	77397372.206	8873785.896%	0.04368	0.877
Kidney-RCC::SP103547	6594	0.934	317885181.114	4820824.706%	37361690.996	4633220.875%	0.07914	0.765
Kidney-RCC::SP102973	19048	0.554	1701635660.68	8933408.55%	201595358.946	5689078.232%	0.59821	0.192
Kidney-RCC::SP103515	7300	0.959	351920203.538	4820824.706%	41361882.902	4683623.262%	0.04676	0.851
Kidney-RCC::SP102747	1085	0.941	52305948.06	4820824.706%	6147623.965	4654220.068%	0.08781	0.787
Kidney-RCC::SP103730	5927	0.97	285730280.325	4820824.706%	33582433.859	4633426.382%	0.03682	0.898
Kidney-RCC::SP103535	28099	0.546	2510198468.577	8933408.55%	297387026.336	5618662.885%	0.61912	0.187
Kidney-RCC::SP102718	7211	0.952	948603519.927	13154951.046%	115769247.009	13185537.784%	0.06231	0.84
Kidney-RCC::SP103483	3047	0.962	146890528.792	4820824.706%	17264331.977	4636445.329%	0.04945	0.868
Kidney-RCC::SP103428	6586	0.954	317499515.137	4820824.706%	37316366.062	4754545.29%	0.05704	0.822
Kidney-RCC::SP102755	10608	0.961	947655979.026	8933408.55%	112270149.371	9093720.718%	0.057	0.841
Kidney-RCC::SP103694	9599	0.964	857517886.753	8933408.55%	101591325.122	8821327.366%	0.04957	0.865
Kidney-RCC::SP103595	4663	0.961	224795056.041	4820824.706%	26420603.967	4633105.045%	0.04261	0.865
Kidney-RCC::SP103396	3575	0.944	319369355.677	8933408.55%	37836126.749	8628024.776%	0.06547	0.807
Kidney-RCC::SP102716	3411	0.961	164438330.722	4820824.706%	19326771.021	4767916.324%	0.04907	0.847
Kidney-RCC::SP102733	4399	0.96	212068078.817	4820824.706%	24924783.095	4682174.074%	0.04783	0.856
Kidney-RCC::SP102989	7069	0.962	631502650.428	8933408.55%	74814977.311	8681153.811%	0.04823	0.866
Kidney-RCC::SP103603	7042	0.956	926371652.659	13154951.046%	113056027.981	13195204.071%	0.05643	0.853
Kidney-RCC::SP102921	3819	0.949	184107295.522	4820824.706%	21638497.569	4635254.409%	0.05851	0.82
Kidney-RCC::SP103742	6273	0.953	302410333.807	4820824.706%	35542884.889	4628297.614%	0.04773	0.838
Kidney-RCC::SP103555	2042	0.934	182420202.599	8933408.55%	21611564.779	8273555.076%	0.08241	0.806
Kidney-RCC::SP103523	3599	0.957	321513373.729	8933408.55%	38090131.68	8753392.024%	0.04909	0.846
Kidney-RCC::SP103575	8826	0.959	1161055979.32	13154951.046%	141697301.043	13035867.475%	0.04925	0.866
Kidney-RCC::SP103045	5264	0.968	253768212.524	4820824.706%	29825892.034	4791767.054%	0.0414	0.872
Kidney-RCC::SP103455	8647	0.96	416856712.328	4820824.706%	48994011.698	4740891.524%	0.04379	0.845
Kidney-RCC::SP103856	3225	0.961	155471596.769	4820824.706%	18272882.611	4640942.57%	0.04411	0.862
Liver-HCC::SP97749	8082	0.98	389619052.739	4820824.706%	45792669.781	4616637.563%	0.02498	0.935
Liver-HCC::SP49235	8017	0.982	386485516.68	4820824.706%	45424364.054	4554327.337%	0.02336	0.95
Liver-HCC::SP50177	10359	0.938	499389231.295	4820824.706%	58694179.307	4458338.864%	0.07636	0.813
Liver-HCC::SP97775	36047	0.863	3220225780.163	8933408.55%	381504478.167	7701126.943%	0.14847	0.655
Liver-HCC::SP97685	9874	0.917	476008231.47	4820824.706%	55946076.124	4053439.896%	0.06279	0.835
Liver-HCC::SP97747	9516	0.957	458749679.023	4820824.706%	53917690.347	4378932.147%	0.04006	0.891
Liver-HCC::SP97771	25473	0.871	1228008677.359	4820824.706%	144330033.016	3893770.175%	0.1541	0.742
Liver-HCC::SP97681	11988	0.97	577920465.755	4820824.706%	67924055.082	4451570.713%	0.03281	0.924
Liver-HCC::SP98082	8863	0.98	427269693.693	4820824.706%	50217817.331	4601841.673%	0.02212	0.939
Liver-HCC::SP49334	7762	0.985	374192413.68	4820824.706%	43979551.909	4665326.109%	0.01738	0.951
Liver-HCC::SP49124	16674	0.846	110536441.027	662926.958%	13259854.818	600605.526%	0.14876	0.567
Liver-HCC::SP115501	9522	0.98	850639162.169	8933408.55%	100776362.427	8731213.653%	0.02296	0.931
Liver-HCC::SP98305	15440	0.977	744335334.606	4820824.706%	87483123.178	4538497.909%	0.01892	0.936
Liver-HCC::SP49247	15145	0.958	730113901.724	4820824.706%	85811715.455	4606492.783%	0.04772	0.856
Liver-HCC::SP49328	10826	0.977	521902482.672	4820824.706%	61340189.347	4589601.342%	0.0287	0.929
Liver-HCC::SP98092	7034	0.989	339096809.82	4820824.706%	39854698.613	4685481.84%	0.01473	0.964
Liver-HCC::SP120755	2747	0.955	132428054.674	4820824.706%	15564513.632	4393373.433%	0.05474	0.883
Liver-HCC::SP49417	10679	0.975	514815870.354	4820824.706%	60507271.614	4526400.203%	0.02946	0.928
Liver-HCC::SP49175	6568	0.807	316631766.69	4820824.706%	37214389.472	4083688.291%	0.22548	0.5
Liver-HCC::SP49223	3694	0.942	178081264.64	4820824.706%	20930227.695	4410676.323%	0.06703	0.836
Liver-HCC::SP49187	10880	0.974	971954850.284	8933408.55%	115148759.489	8448296.264%	0.02923	0.926
Liver-HCC::SP49157	13295	0.965	640928644.663	4820824.706%	75329565.432	4547417.02%	0.0405	0.891
Liver-HCC::SP49379	15647	0.971	1397810435.881	8933408.55%	165600497.805	8743478.898%	0.03457	0.896
Liver-HCC::SP49541	12240	0.99	1093449206.569	8933408.55%	129542390.08	8793233.759%	0.01055	0.964
Liver-HCC::SP98164	16532	0.978	1476871101.552	8933408.55%	174966886.552	8650386.212%	0.02362	0.926
Liver-HCC::SP49481	3340	0.922	161015545.18	4820824.706%	18924459.344	4294187.251%	0.0764	0.795
Liver-HCC::SP98078	15414	0.973	743081920.183	4820824.706%	87335840.524	4600587.005%	0.03061	0.913
Liver-HCC::SP106677	7964	0.98	383930479.586	4820824.706%	45124100.207	4714510.848%	0.02399	0.927
Liver-HCC::SP106743	3504	0.946	168921697.698	4820824.706%	19853700.965	4589620.007%	0.05881	0.819
Liver-HCC::SP98359	8760	0.988	422304244.246	4820824.706%	49634235.841	4714476.478%	0.01544	0.956
Liver-HCC::SP98192	3847	0.934	185457126.44	4820824.706%	21797117.099	4288254.343%	0.08259	0.837
Liver-HCC::SP98053	12805	0.974	617306603.603	4820824.706%	72553224.776	4599432.144%	0.03287	0.917
Liver-HCC::SP106631	18974	0.939	914703279.716	4820824.706%	107506840.559	4464231.048%	0.06674	0.815
Liver-HCC::SP49551	11548	0.975	1031630019.4	8933408.55%	122218599.184	8727090.805%	0.03634	0.911
Liver-HCC::SP49651	7718	0.978	372071250.809	4820824.706%	43730273.479	4764726.377%	0.02774	0.915
Liver-HCC::SP98265	18401	0.972	2420642541.974	13154951.046%	295419356.207	12681403.443%	0.03159	0.916
Liver-HCC::SP98297	14491	0.978	698585708.146	4820824.706%	82106134.747	4678318.064%	0.02703	0.924
Liver-HCC::SP98060	2284	0.846	110107636.285	4820824.706%	12941160.583	3992588.284%	0.14552	0.644
Liver-HCC::SP98289	29881	0.554	2669391808.945	8933408.55%	316246906.462	5705258.535%	0.59039	0.189
Liver-HCC::SP115498	19411	0.988	1734063933.718	8933408.55%	205436810.922	8539349.152%	0.0158	0.966
Liver-HCC::SP98096	13554	0.979	1210834194.921	8933408.55%	143449112.237	8513835.705%	0.02229	0.937
Liver-HCC::SP49114	23526	0.976	3777209627.53	16055468.96%	464005106.371	15639886.875%	0.02725	0.929
Liver-HCC::SP98090	63686	0.88	3070190422.263	4820824.706%	360845495.55	4239820.202%	0.14756	0.679
Liver-HCC::SP49286	10268	0.98	917282389.955	8933408.55%	108671674.61	8722542.206%	0.02404	0.929
Liver-HCC::SP49469	7288	0.978	351341704.573	4820824.706%	41293872.539	4674621.595%	0.02864	0.922
Liver-HCC::SP49205	4899	0.975	236172202.347	4820824.706%	27757765.787	4569509.226%	0.03083	0.924
Liver-HCC::SP98327	10780	0.98	963021441.733	8933408.55%	114090455.637	8821746.353%	0.02486	0.925
Liver-HCC::SP49449	3713	0.919	331697459.476	8933408.55%	39296633.35	8008072.665%	0.0862	0.785
Liver-HCC::SP49391	5625	0.966	271171389.712	4820824.706%	31871285.575	4519713.183%	0.03583	0.898
Liver-HCC::SP49531	17280	0.985	1543692997.509	8933408.55%	182883367.088	8715129.161%	0.01821	0.947
Liver-HCC::SP49322	7848	0.983	378338322.927	4820824.706%	44466836.788	4693128.003%	0.02196	0.938
Liver-HCC::SP49433	6236	0.97	300626628.666	4820824.706%	35333210.48	4509840.351%	0.03827	0.915
Liver-HCC::SP109384	5432	0.98	261867198.03	4820824.706%	30777743.653	4568452.624%	0.02362	0.942
Liver-HCC::SP98065	10456	0.949	934077198.03	8933408.55%	110661398.658	8588488.432%	0.0557	0.827
Liver-HCC::SP49591	7637	0.793	1821738973.331	23854117.76%	224213466.48	20380810.746%	0.20247	0.52
Liver-HCC::SP49385	8894	0.966	428764149.352	4820824.706%	50393453.489	4490806.577%	0.03703	0.902
Liver-HCC::SP98313	7342	0.967	353944949.915	4820824.706%	41599837.979	4628602.972%	0.03478	0.888
Liver-HCC::SP49119	8444	0.972	407070438.175	4820824.706%	47843758.581	4552388.154%	0.03669	0.914
Liver-HCC::SP109301	13751	0.977	662911605.322	4820824.706%	77913264.914	4605361.933%	0.02746	0.926
Liver-HCC::SP115830	7986	0.983	384991061.021	4820824.706%	45248732.474	4629264.348%	0.02064	0.946
Liver-HCC::SP49229	5869	0.911	524301747.823	8933408.55%	62114687.717	7632334.936%	0.09605	0.804
Liver-HCC::SP98853	14756	0.808	711360893.617	4820824.706%	83607407.598	3433013.017%	0.13349	0.696
Liver-HCC::SP98855	7571	0.967	364984638.491	4820824.706%	42897350.137	4608796.533%	0.03686	0.891
Liver-HCC::SP98859	5724	0.966	275944006.171	4820824.706%	32432224.368	4550583.717%	0.0437	0.896
Liver-HCC::SP98865	3496	0.963	168536031.722	4820824.706%	19808356.466	4490132.654%	0.04471	0.894
Liver-HCC::SP98879	13463	0.965	649027630.169	4820824.706%	76281422.516	4458664.82%	0.04511	0.905
Liver-HCC::SP98871	6321	0.971	304724329.666	4820824.706%	35814814.431	4475051.657%	0.03507	0.922
Liver-HCC::SP98867	11339	0.931	546633313.413	4820824.706%	64246812.142	4254738.044%	0.07159	0.834
Liver-HCC::SP98861	16637	0.976	802040606.337	4820824.706%	94265403.941	4699315.738%	0.0281	0.912
Liver-HCC::SP98877	10724	0.9	516985241.471	4820824.706%	60762216.607	4101920.041%	0.10772	0.774
Liver-HCC::SP98889	12659	0.963	610268199.533	4820824.706%	71725956.754	4456664.609%	0.04033	0.899
Liver-HCC::SP98887	16052	0.929	773838781.807	4820824.706%	90950689.49	4251290.266%	0.06997	0.828
Liver-HCC::SP98875	11222	0.97	540992948.507	4820824.706%	63583920.199	4529854.031%	0.0374	0.911
Liver-HCC::SP98851	3174	0.925	153012976.168	4820824.706%	17983914.161	4443602.746%	0.08498	0.772
Liver-HCC::SP98833	5683	0.966	273967468.042	4820824.706%	32199931.783	4640275.092%	0.04107	0.881
Liver-HCC::SP98873	13424	0.92	647147508.533	4820824.706%	76060418.581	4178176.516%	0.08085	0.817
Liver-HCC::SP98883	10211	0.982	492254410.73	4820824.706%	57855564.12	4501489.893%	0.02315	0.959
Liver-HCC::SP98849	5207	0.958	251020342.441	4820824.706%	29502900.406	4525277.475%	0.04014	0.872
Liver-HCC::SP98869	4900	0.976	236220410.594	4820824.706%	27763431.623	4571439.334%	0.0307	0.926
Liver-HCC::SP98893	11922	0.98	1065040967.379	8933408.55%	126176786.553	8455616.791%	0.02268	0.944
Liver-HCC::SP98847	7095	0.935	342037512.891	4820824.706%	40200319.855	4400594.93%	0.06854	0.815
Liver-HCC::SP98881	10451	0.939	503824390.024	4820824.706%	59215382.891	4229675.601%	0.04437	0.863
Liver-HCC::SP98841	7944	0.966	382966314.645	4820824.706%	45010797.092	4734323.738%	0.0392	0.872
Liver-HCC::SP98845	18819	0.777	907231001.422	4820824.706%	106628633.838	3738284.055%	0.28341	0.526
Liver-HCC::SP98839	8377	0.955	403840485.622	4820824.706%	47464130.738	4452378.58%	0.04504	0.874
Liver-HCC::SP98843	9785	0.887	471717697.482	4820824.706%	55441845.728	4060192.148%	0.12842	0.744
Liver-HCC::SP98863	4035	0.937	194520276.887	4820824.706%	22862317.43	4230709.527%	0.07224	0.858
Liver-HCC::SP98891	17932	0.888	864470286.28	4820824.706%	101602717.919	3958886.933%	0.12093	0.772
Liver-HCC::SP98885	15937	0.873	768294833.395	4820824.706%	90299052.555	3901548.447%	0.12746	0.744
Liver-HCC::SP107047	16098	0.955	1438100108.443	8933408.55%	170373574.611	8188075.882%	0.05271	0.882
Liver-HCC::SP107050	9664	0.902	465884499.588	4820824.706%	54756253.64	4109556.11%	0.11508	0.776
Liver-HCC::SP99261	13144	0.957	633649199.357	4820824.706%	74473961.375	4407192.336%	0.04482	0.887
Liver-HCC::SP107052	8247	0.949	397573413.504	4820824.706%	46727535.558	4362403.8%	0.05718	0.871
Liver-HCC::SP99269	10540	0.959	508114924.012	4820824.706%	59719680.135	4398629.078%	0.0471	0.897
Liver-HCC::SP99271	9430	0.94	454603769.776	4820824.706%	53430404.795	4268383.079%	0.07628	0.858
Liver-HCC::SP107056	20633	0.902	994680761.589	4820824.706%	116906677.181	4170478.915%	0.11157	0.763
Liver-HCC::SP107060	10931	0.956	526964348.613	4820824.706%	61935099.537	4421377.211%	0.04597	0.881
Liver-HCC::SP99279	13608	0.864	656017825.992	4820824.706%	77102983.872	3971600.957%	0.15944	0.701
Liver-HCC::SP107063	5822	0.967	280668414.383	4820824.706%	32987475.089	4440833.839%	0.03605	0.916
Liver-HCC::SP107068	8597	0.901	414446299.975	4820824.706%	48710613.435	4050013.06%	0.10422	0.789
Liver-HCC::SP107071	18703	0.901	901638844.763	4820824.706%	105971228.7	4061605.005%	0.09985	0.787
Liver-HCC::SP107073	3401	0.937	163956248.251	4820824.706%	19270079.576	4304564.619%	0.08435	0.843
Liver-HCC::SP98896	22909	0.934	1104402731.898	4820824.706%	129802483.801	4286476.455%	0.08131	0.836
Liver-HCC::SP99003	12165	0.974	586453325.485	4820824.706%	68926978.87	4597395.422%	0.02715	0.918
Liver-HCC::SP107076	31855	0.87	1535673710.096	4820824.706%	180490621.154	4061878.601%	0.14075	0.695
Liver-HCC::SP107078	5331	0.96	256998165.077	4820824.706%	30205468.252	4416660.274%	0.04641	0.897
Liver-HCC::SP107080	15047	0.903	725389493.512	4820824.706%	85256378.289	4182159.126%	0.09236	0.762
Liver-HCC::SP98898	14593	0.923	703502949.347	4820824.706%	82684005.084	4259250.216%	0.0909	0.807
Liver-HCC::SP107084	13404	0.973	646183343.592	4820824.706%	75947153.605	4567983.966%	0.03171	0.918
Liver-HCC::SP107088	4934	0.96	237859490.994	4820824.706%	27956064.072	4410977.493%	0.04148	0.897
Liver-HCC::SP107091	9263	0.961	446552992.517	4820824.706%	52484202.876	4441246.418%	0.04508	0.893
Liver-HCC::SP107094	7382	0.942	355873279.797	4820824.706%	41826438.285	4312581.502%	0.06867	0.858
Liver-HCC::SP112224	10764	0.938	518913571.354	4820824.706%	60988853.57	4262660.342%	0.0617	0.853
Liver-HCC::SP107097	9283	0.933	447517157.458	4820824.706%	52597517.336	4294991.669%	0.07875	0.833
Liver-HCC::SP107101	22272	0.961	1073694078.52	4820824.706%	126193226.145	4388137.653%	0.04135	0.903
Liver-HCC::SP98900	9708	0.959	468005662.458	4820824.706%	55005621.017	4610226.203%	0.04515	0.859
Liver-HCC::SP107104	11691	0.955	563602616.378	4820824.706%	66241262.18	4413191.021%	0.04781	0.879
Liver-HCC::SP107109	4783	0.967	230580045.688	4820824.706%	27100487.733	4368734.228%	0.03946	0.925
Liver-HCC::SP107111	13710	0.944	660935067.193	4820824.706%	77680971.565	4483901.231%	0.06122	0.829
Liver-HCC::SP107115	695	0.653	62087189.425	8933408.55%	7355556.48	6105720.741%	0.49888	0.356
