Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Bone-Benign::SP116542	773	0.459	20560959.165	2659891.224%	4666806.418	4410702.213%	0.73231	0.207
Bone-Benign::SP116545	628	0.481	16704116.89	2659891.225%	3791402.18	4545901.998%	0.71159	0.238
Bone-Benign::SP116548	842	0.481	22396284.11	2659891.224%	5083375.58	4441365.866%	0.64679	0.243
Bone-Benign::SP116550	361	0.419	9602207.32	2659891.224%	2179453.738	4179680.174%	0.78758	0.161
Bone-Benign::SP116553	631	0.469	16783913.626	2659891.224%	3809513.114	4338808.178%	0.72181	0.23
Bone-Benign::SP116557	372	0.458	9894795.355	2659891.224%	2245862.596	4357818.586%	0.82165	0.21
Bone-Benign::SP116559	880	0.485	23407042.775	2659891.224%	5312792.92	4583742.544%	0.76375	0.242
Bone-Benign::SP116562	1062	0.539	28248044.804	2659891.224%	6411569.674	4720774.589%	0.63876	0.335
Bone-Benign::SP116564	737	0.478	19603398.324	2659891.224%	4449464.784	4587077.097%	0.66929	0.229
Bone-Benign::SP116571	1009	0.542	26838302.455	2659891.224%	6091590.277	4444995.529%	0.60301	0.346
Bone-Benign::SP116393	117	0.38	3112072.733	2659891.225%	706359.833	3527392.676%	1.1928	0.156
Bone-Benign::SP116442	381	0.45	10134185.565	2659891.224%	2300197.495	4198867.096%	0.82019	0.209
Bone-Benign::SP116446	181	0.409	4814403.116	2659891.224%	1092744.967	3890275.098%	0.94963	0.169
Bone-Benign::SP116448	80	0.463	2127912.98	2659891.225%	482980.112	3620088.991%	1.05179	0.265
Bone-Epith::SP116419	2810	0.471	74742943.407	2659891.224%	16964729.164	4866210.461%	0.68526	0.198
Bone-Epith::SP116383	5556	0.54	147783556.431	2659891.224%	33542903.752	3668106.52%	0.53142	0.372
Bone-Epith::SP116385	2561	0.529	68119814.258	2659891.224%	15461429.208	4832853.064%	0.58094	0.313
Bone-Epith::SP116440	1776	0.511	47239668.146	2659891.224%	10722170.942	4397879.508%	0.57498	0.295
Bone-Epith::SP116450	3740	0.561	99479931.795	2659891.224%	22579311.874	4264911.261%	0.53894	0.382
Bone-Epith::SP116493	1742	0.528	46335305.13	2659891.224%	10516910.187	4778143.655%	0.56756	0.312
Bone-Epith::SP116391	1547	0.558	41148517.242	2659891.224%	9339629.1	4412904.76%	0.60496	0.375
Bone-Epith::SP116401	1809	0.557	48117432.25	2659891.224%	10921386.655	4327856.433%	0.51585	0.375
Bone-Epith::SP116409	2665	0.65	70886101.132	2659891.224%	16089264.537	4841795.265%	0.45125	0.55
Bone-Epith::SP116416	1130	0.624	30056770.836	2659891.224%	6822087.629	4546442.194%	0.50545	0.487
Bone-Epith::SP116424	786	0.479	20906745.024	2659891.224%	4745283.478	4009064.968%	0.60469	0.266
Bone-Osteosarc::SP116515	1900	0.549	50537933.265	2659891.224%	11470781.606	4414125.091%	0.59136	0.359
Bone-Osteosarc::SP116499	4661	0.518	123977529.972	2659891.224%	28139696.586	4993288.79%	0.66951	0.288
Bone-Osteosarc::SP116505	2521	0.572	67055857.769	2659891.224%	15219914.111	4558270.429%	0.55556	0.397
Bone-Osteosarc::SP116509	7394	0.572	196672357.137	2659891.224%	44639287.39	3550086.68%	0.49888	0.424
Bone-Osteosarc::SP116437	1288	0.486	34259398.971	2659891.224%	7775993.786	4425040.593%	0.6572	0.252
Bone-Osteosarc::SP116512	5862	0.503	155922823.578	2659891.224%	35390468.959	5074320.886%	0.71565	0.256
Bone-Osteosarc::SP116465	2011	0.544	53490412.524	2659891.224%	12140936.399	5029254.238%	0.62227	0.344
Bone-Osteosarc::SP116496	9510	0.563	252955655.446	2659891.224%	57414282.549	4543031.308%	0.56268	0.381
Bone-Osteosarc::SP116525	4766	0.605	126770415.758	2659891.224%	28773499.056	4258858.572%	0.49674	0.454
Bone-Osteosarc::SP116481	3725	0.608	99080948.111	2659891.224%	22488698.927	3907758.259%	0.53629	0.464
Bone-Osteosarc::SP116586	3675	0.494	97751002.499	2659891.224%	22186966.921	5088446.061%	0.69859	0.236
Bone-Osteosarc::SP116528	5032	0.56	133845726.415	2659891.224%	30379491.792	4925638.483%	0.55664	0.375
Bone-Osteosarc::SP116589	9231	0.507	245534558.93	2659891.224%	55730027.931	5121922.872%	0.70257	0.264
Bone-Osteosarc::SP116406	2729	0.596	72588431.516	2659891.224%	16475662.614	4748029.572%	0.57536	0.442
Bone-Osteosarc::SP116484	1133	0.479	30136567.573	2659891.224%	6840220.622	4516497.792%	0.6629	0.236
Bone-Osteosarc::SP116453	2475	0.549	65832307.805	2659891.224%	14942215.536	4751516.271%	0.56709	0.353
Bone-Osteosarc::SP116469	2927	0.548	77855016.14	2659891.224%	17671058.886	4796979.359%	0.55907	0.35
Bone-Osteosarc::SP116578	5163	0.571	137330183.919	2659891.224%	31170386.41	5222093.409%	0.58155	0.415
Bone-Osteosarc::SP116531	1195	0.575	31785700.132	2659891.224%	7214517.586	4604959.11%	0.57857	0.4
Bone-Osteosarc::SP116593	3620	0.628	96288062.325	2659891.224%	21854817.694	4407001.508%	0.46768	0.492
Bone-Osteosarc::SP116487	1785	0.65	47479058.357	2659891.224%	10776482.491	4700959.778%	0.5216	0.539
Bone-Osteosarc::SP116456	2367	0.516	62959625.283	2659891.224%	14290199.252	4681287.128%	0.60208	0.293
Bone-Osteosarc::SP116472	6132	0.526	163104529.884	2659891.224%	37020452.351	4367423.561%	0.58698	0.323
Bone-Osteosarc::SP116518	14101	0.624	375071261.561	2659891.224%	85131270.223	4829742.849%	0.52643	0.498
Bone-Osteosarc::SP116412	2505	0.527	66630275.173	2659891.224%	15123337.299	4667896.8%	0.64713	0.313
Bone-Osteosarc::SP116534	1582	0.59	42079479.171	2659891.224%	9550936.794	4815237.96%	0.60515	0.431
Bone-Osteosarc::SP116596	6735	0.577	179143673.967	2659891.224%	40660950.324	5128919.943%	0.60013	0.42
Bone-Osteosarc::SP116490	5057	0.609	134510699.221	2659891.224%	30530390.106	4887365.389%	0.60143	0.472
Bone-Osteosarc::SP116459	5883	0.644	156481400.735	2659891.224%	35517112.868	4660424.462%	0.5123	0.527
Bone-Osteosarc::SP116475	2939	0.64	78174203.087	2659891.224%	17743483.408	5040375.89%	0.56689	0.549
Bone-Osteosarc::SP116520	6217	0.587	165365437.425	2659891.224%	37533597.426	4643451.664%	0.56993	0.422
Bone-Osteosarc::SP116431	9052	0.581	240773353.638	2659891.224%	54649190.408	4484609.165%	0.52583	0.412
Bone-Osteosarc::SP116582	6988	0.649	185873198.765	2659891.224%	42188272.755	4725910.275%	0.44762	0.539
Bone-Osteosarc::SP116599	2588	0.574	68837984.889	2659891.224%	15624410.781	4588355.252%	0.57321	0.4
Bone-Osteosarc::SP116478	4463	0.575	118710945.348	2659891.224%	26944219.815	4102258.521%	0.53863	0.408
Bone-Osteosarc::SP116462	1752	0.621	46601294.253	2659891.224%	10577260.158	4712421.24%	0.53096	0.487
Bone-Osteosarc::SP116523	3083	0.542	82004446.45	2659891.224%	18612867.667	4668898.653%	0.57894	0.342
Bone-Osteosarc::SP116434	414	0.449	11011949.669	2659891.224%	2499427.85	4292800.991%	0.71967	0.2
Breast-AdenoCA::SP117956	1929	0.551	51309301.72	2659891.224%	11645864.35	4502786.864%	0.54462	0.36
Breast-AdenoCA::SP117975	2500	0.542	66497280.611	2659891.224%	15093117.156	4007132.091%	0.50165	0.361
Breast-AdenoCA::SP2149	11020	0.493	293120012.935	2659891.224%	66530739.331	5280540.05%	0.7578	0.228
Breast-AdenoCA::SP117113	2117	0.641	56309897.222	2659891.224%	12780813.834	3886218.164%	0.45303	0.513
Breast-AdenoCA::SP117245	2538	0.605	67508039.277	2659891.224%	15322499.805	3861618.136%	0.45317	0.46
Breast-AdenoCA::SP117402	3967	0.489	105517884.874	2659891.224%	23949683.931	2939740.326%	0.69185	0.343
Breast-AdenoCA::SP117136	1493	0.538	39712175.981	2659891.224%	9013614.205	4131253.113%	0.56388	0.35
Breast-AdenoCA::SP117378	1843	0.528	49021795.267	2659891.224%	11126668.536	4590786.433%	0.56113	0.318
Breast-AdenoCA::SP116947	2707	0.541	72003255.446	2659891.224%	16342843.649	4321220.878%	0.53422	0.349
Breast-AdenoCA::SP117369	55654	0.359	1480335862.061	2659891.224%	335993278.149	1471299.822%	1.56982	0.286
Breast-AdenoCA::SP117244	2300	0.483	61177498.163	2659891.224%	13885597.205	2595506.741%	0.66806	0.356
Breast-AdenoCA::SP117162	2998	0.525	79743538.909	2659891.224%	18099686.427	4232319.502%	0.55906	0.326
Breast-AdenoCA::SP117079	3169	0.447	84291952.903	2659891.224%	19131912.997	2245469.375%	0.75962	0.335
Breast-AdenoCA::SP117344	4655	0.571	123817936.499	2659891.224%	28103451.898	5135443.197%	0.62426	0.407
Breast-AdenoCA::SP118074	6879	0.616	182973917.331	2659891.224%	41530192.785	4336570.053%	0.47996	0.472
Breast-AdenoCA::SP117598	1961	0.567	52160466.912	2659891.224%	11839059.07	4719754.175%	0.51878	0.386
Breast-AdenoCA::SP117312	2240	0.48	59581563.428	2659891.224%	13523433.882	3568946.252%	0.65136	0.294
Breast-AdenoCA::SP118038	9242	0.444	245827146.965	2659891.224%	55795922.791	2323076.774%	0.86097	0.326
Breast-AdenoCA::SP117552	1255	0.538	33381634.867	2659891.224%	7576746.289	4035496.957%	0.60107	0.354
Breast-AdenoCA::SP118073	1892	0.527	50325141.967	2659891.224%	11422470.736	3883711.667%	0.55929	0.343
Breast-AdenoCA::SP117933	1203	0.533	31998491.43	2659891.224%	7262818.662	4421402.823%	0.57243	0.332
Breast-AdenoCA::SP118012	1712	0.599	45537337.763	2659891.224%	10335756.303	4125138.393%	0.47457	0.446
Breast-AdenoCA::SP117108	1942	0.583	51655087.579	2659891.224%	11724318.212	3935842.158%	0.55323	0.426
Breast-AdenoCA::SP117812	1673	0.536	44499980.185	2659891.224%	10100325.377	4319100.551%	0.5804	0.34
Breast-AdenoCA::SP117354	3289	0.644	87483822.372	2659891.224%	19856484.459	4422160.266%	0.48237	0.519
Breast-AdenoCA::SP117370	1785	0.59	47479058.357	2659891.224%	10776468.741	3910914.785%	0.49009	0.437
Breast-AdenoCA::SP116991	2546	0.622	67720830.575	2659891.224%	15370795.582	3938382.394%	0.42898	0.485
Breast-AdenoCA::SP117629	5791	0.533	154034300.808	2659891.224%	34961790.389	4917620.311%	0.65887	0.321
Breast-AdenoCA::SP124199	2850	0.592	75806899.897	2659891.224%	17206099.752	3556664.979%	0.4379	0.451
Breast-AdenoCA::SP124195	2055	0.513	54660764.663	2659891.224%	12406539.038	3717082.526%	0.55847	0.331
Breast-AdenoCA::SP117850	2062	0.54	54846957.048	2659891.224%	12448774.96	3419476.997%	0.53995	0.384
Breast-AdenoCA::SP117127	1500	0.542	39898368.367	2659891.224%	9055869.918	3991345.682%	0.54342	0.361
Breast-AdenoCA::SP117614	5449	0.527	144937472.821	2659891.224%	32897059.273	5040329.222%	0.67881	0.308
Breast-AdenoCA::SP116948	3107	0.614	82642820.344	2659891.224%	18757714.853	4349797.037%	0.44372	0.469
Breast-AdenoCA::SP117409	7599	0.607	202125134.147	2659891.224%	45877107.603	5045295.448%	0.61188	0.479
Breast-AdenoCA::SP117593	1775	0.443	47213069.234	2659891.224%	10716138.335	3957475.168%	0.6409	0.213
Breast-AdenoCA::SP117372	12716	0.355	338231768.102	2659891.224%	76769100.816	1738236.331%	1.39029	0.261
Breast-AdenoCA::SP118077	2405	0.601	63970383.948	2659891.224%	14519563.179	4114610.815%	0.48376	0.449
Breast-AdenoCA::SP117840	2028	0.591	53942594.032	2659891.224%	12243537.08	4376992.76%	0.49039	0.429
Breast-AdenoCA::SP117363	4363	0.634	116051054.123	2659891.224%	26340491.951	4482483.249%	0.54001	0.503
Breast-AdenoCA::SP117887	7616	0.549	202577315.655	2659891.224%	45979805.677	5164660.059%	0.66253	0.358
Breast-AdenoCA::SP116946	2951	0.586	78493390.034	2659891.224%	17815921.271	4438899.804%	0.50162	0.421
Breast-AdenoCA::SP117901	6676	0.505	177574338.145	2659891.224%	40304630.453	3543437.091%	0.65004	0.33
Breast-AdenoCA::SP117454	1742	0.484	46335305.13	2659891.224%	10516898.102	3966297.572%	0.60935	0.275
Breast-AdenoCA::SP124197	23237	0.426	618078923.828	2659891.224%	140286900.582	2386931.56%	0.92034	0.299
Breast-AdenoCA::SP117919	9003	0.574	239470006.938	2659891.224%	54353414.053	4764122.134%	0.62615	0.4
Breast-AdenoCA::SP117250	8476	0.398	225452380.185	2659891.224%	51171264.4	1799652.75%	1.10192	0.307
Breast-AdenoCA::SP117983	3547	0.593	94346341.732	2659891.224%	21414061.267	3702102.198%	0.50593	0.447
Breast-AdenoCA::SP117676	1863	0.585	49553773.512	2659891.224%	11247378.092	3986552.509%	0.44314	0.427
Breast-AdenoCA::SP117011	36115	0.387	960619715.714	2659891.224%	218032283.951	1444673.844%	1.428	0.32
Breast-AdenoCA::SP117057	2998	0.606	79743538.909	2659891.224%	18099594.223	3461681.105%	0.47838	0.473
Breast-AdenoCA::SP117126	2310	0.539	61443487.285	2659891.224%	13946041.127	3999630.505%	0.52831	0.356
Breast-AdenoCA::SP117728	1993	0.595	53011632.103	2659891.224%	12032229.056	4295499.139%	0.48522	0.437
Breast-AdenoCA::SP117618	1335	0.528	35509547.847	2659891.224%	8059730.656	4134282.605%	0.54724	0.335
Breast-AdenoCA::SP117257	1484	0.566	39472785.771	2659891.224%	8959252.961	3554419.637%	0.50481	0.414
Breast-AdenoCA::SP116963	1621	0.522	43116836.748	2659891.224%	9786380.04	3942820.868%	0.53309	0.334
Breast-AdenoCA::SP117078	5903	0.703	157013378.98	2659891.224%	35637777.313	4369576.892%	0.37633	0.615
Breast-AdenoCA::SP117944	8178	0.529	217525904.336	2659891.224%	49372632.687	4080962.677%	0.64718	0.338
Breast-AdenoCA::SP117639	5730	0.582	152411767.162	2659891.224%	34593258.211	3176054.746%	0.43616	0.452
Breast-AdenoCA::SP117834	5234	0.598	139218706.688	2659891.224%	31598986.819	4838827.239%	0.51833	0.449
Breast-AdenoCA::SP117105	3650	0.596	97086029.693	2659891.224%	22035918.634	3971538.342%	0.45408	0.444
Breast-AdenoCA::SP117785	4439	0.467	118072571.454	2659891.224%	26799341.833	3478454.506%	0.67353	0.28
Breast-AdenoCA::SP117882	2046	0.593	54421374.452	2659891.224%	12352178.02	3732883.318%	0.52166	0.446
Breast-AdenoCA::SP117778	2845	0.542	75673905.336	2659891.224%	17175994.948	4544025.316%	0.52441	0.343
Breast-AdenoCA::SP117032	2303	0.566	61257294.899	2659891.224%	13903794.473	4548657.034%	0.54917	0.386
Breast-AdenoCA::SP117710	2643	0.578	70300925.062	2659891.224%	15956393.811	3471694.706%	0.42419	0.434
Breast-AdenoCA::SP117538	9804	0.574	260775735.646	2659891.224%	59189273.792	4890893.895%	0.65269	0.403
Breast-AdenoCA::SP124207	8646	0.675	229974195.267	2659891.224%	52198034.156	4973199.438%	0.46233	0.614
Breast-AdenoCA::SP117800	4167	0.592	110837667.323	2659891.224%	25157202.405	4308201.229%	0.50515	0.432
Breast-AdenoCA::SP117724	2867	0.546	76259081.405	2659891.224%	17308789.557	4086412.126%	0.51192	0.365
Breast-AdenoCA::SP124193	2628	0.525	69901941.379	2659891.224%	15865787.348	2669215.66%	0.5266	0.404
Breast-AdenoCA::SP2293	65065	0.359	1730658225.195	2659891.224%	392809442.929	1511206.742%	1.64223	0.283
Breast-AdenoCA::SP2357	10361	0.612	275591329.766	2659891.224%	62551988.135	4953872.106%	0.60423	0.482
Breast-AdenoCA::SP2144	6115	0.524	162652348.376	2659891.224%	36917844.302	4612666.111%	0.68608	0.311
Breast-AdenoCA::SP2145	5909	0.601	157172972.453	2659891.224%	35674101.233	4531159.89%	0.59121	0.447
Breast-AdenoCA::SP2147	12000	0.595	319186946.935	2659891.224%	72447080.35	5003969.82%	0.61968	0.452
Breast-AdenoCA::SP2146	5122	0.546	136239628.517	2659891.224%	30922839.366	4726141.83%	0.63892	0.348
Breast-AdenoCA::SP2148	6788	0.476	180553416.316	2659891.224%	40980761.641	3123359.476%	0.75464	0.314
Breast-AdenoCA::SP2150	3327	0.599	88494581.038	2659891.224%	20085918.37	4398729.013%	0.48297	0.444
Breast-AdenoCA::SP2152	2032	0.647	54048989.681	2659891.224%	12267651.647	3967517.591%	0.4688	0.521
Breast-AdenoCA::SP2349	5938	0.644	157944340.908	2659891.224%	35849046.751	3781658.631%	0.43337	0.518
Breast-AdenoCA::SP2155	8974	0.531	238698638.483	2659891.224%	54178381.82	4756689.643%	0.68803	0.319
Breast-AdenoCA::SP2154	10328	0.584	274713565.662	2659891.224%	62352829.058	5197899.504%	0.63957	0.442
Breast-AdenoCA::SP2158	5746	0.608	152837349.757	2659891.224%	34689959.308	3977196.982%	0.45531	0.463
Breast-AdenoCA::SP2156	4916	0.537	130760252.594	2659891.224%	29679137.47	4313554.741%	0.59177	0.342
Breast-AdenoCA::SP2159	7174	0.408	190820596.443	2659891.224%	43310897.613	1970880.57%	1.05347	0.307
Breast-AdenoCA::SP2153	11161	0.596	296870459.562	2659891.224%	67381662.211	4173809.286%	0.55788	0.44
Breast-AdenoCA::SP2160	2493	0.635	66311088.226	2659891.224%	15050853.743	4631909.052%	0.44444	0.509
Breast-AdenoCA::SP2151	2108	0.496	56070507.012	2659891.224%	12726513.304	3602831.127%	0.65907	0.314
Breast-AdenoCA::SP116341	9847	0.494	261919488.873	2659891.224%	59448924.23	4516166.094%	0.71215	0.261
Breast-AdenoCA::SP116331	5190	0.686	138048354.549	2659891.224%	31333267.818	4601042.425%	0.47709	0.599
Breast-AdenoCA::SP116351	3266	0.611	86872047.391	2659891.224%	19717634.334	4294099.715%	0.47731	0.464
Breast-AdenoCA::SP116371	4580	0.622	121823018.08	2659891.224%	27650571.145	4366876.529%	0.48735	0.481
Breast-AdenoCA::SP116361	10544	0.375	280458930.707	2659891.224%	63656490.371	2169233.554%	1.15032	0.253
Breast-AdenoCA::SP116343	6647	0.613	176802969.69	2659891.224%	40129597.858	4686058.209%	0.52615	0.471
Breast-AdenoCA::SP116333	4623	0.572	122966771.307	2659891.224%	27910243.714	4893861.091%	0.58834	0.398
Breast-AdenoCA::SP116373	9037	0.472	240374369.954	2659891.224%	54558831.499	5082541.814%	0.79253	0.187
Breast-AdenoCA::SP116363	6442	0.523	171350192.68	2659891.224%	38892069.674	5077986.086%	0.70875	0.3
Breast-AdenoCA::SP116353	9946	0.658	264552781.185	2659891.224%	60046422.515	4661368.392%	0.47731	0.551
Breast-AdenoCA::SP116345	2899	0.62	77110246.597	2659891.224%	17501972.377	4463990.059%	0.46063	0.479
Breast-AdenoCA::SP116365	6379	0.478	169674461.208	2659891.224%	38511684.461	4234618.513%	0.74323	0.25
Breast-AdenoCA::SP116375	7871	0.611	209360038.277	2659891.224%	47519156.933	4422664.388%	0.50089	0.463
Breast-AdenoCA::SP116335	6730	0.581	179010679.406	2659891.224%	40630755.223	5071156.336%	0.5599	0.426
Breast-AdenoCA::SP116355	10048	0.495	267265870.234	2659891.224%	60662443.42	4737492.774%	0.74215	0.252
Breast-AdenoCA::SP116347	2670	0.539	71019095.693	2659891.224%	16119444.381	3898798.218%	0.54132	0.361
Breast-AdenoCA::SP116367	8434	0.552	224335225.871	2659891.224%	50918283.23	5150375.793%	0.6617	0.365
Breast-AdenoCA::SP116339	3930	0.64	104533725.121	2659891.224%	23726374.356	4649174.719%	0.53835	0.52
Breast-AdenoCA::SP116349	2883	0.581	76684664.001	2659891.224%	17405390.641	4447842.287%	0.48742	0.413
Breast-AdenoCA::SP116357	7376	0.514	196193576.716	2659891.224%	44530872.464	4947477.714%	0.73515	0.282
Breast-AdenoCA::SP116359	9227	0.496	245428163.281	2659891.224%	55705777.269	4226537.271%	0.68605	0.279
Breast-AdenoCA::SP116369	11559	0.528	307456826.635	2659891.224%	69784748.082	5025981.133%	0.71236	0.309
Breast-AdenoCA::SP116377	8813	0.603	234416213.612	2659891.224%	53206298.745	4737770.229%	0.55576	0.455
Breast-AdenoCA::SP116379	5097	0.622	135574655.711	2659891.224%	30771827.984	4394106.087%	0.52924	0.482
Breast-AdenoCA::SP7692	21978	0.447	584590893.312	2659891.224%	132685369.611	1952344.856%	0.93952	0.354
Breast-AdenoCA::SP5052	18803	0.518	500139346.935	2659891.224%	113518732.597	5086949.67%	0.74139	0.288
Breast-AdenoCA::SP7785	9473	0.554	251971495.693	2659891.224%	57190974.029	4957403.752%	0.63425	0.364
Breast-AdenoCA::SP3415	8909	0.453	236969709.187	2659891.224%	53785909.713	3749806.298%	0.80791	0.244
Breast-AdenoCA::SP2799	2445	0.589	65034340.438	2659891.224%	14761073.869	4468602.714%	0.49984	0.425
Breast-AdenoCA::SP9979	1735	0.519	46149112.744	2659891.224%	10474634.121	4149712.589%	0.55291	0.319
Breast-AdenoCA::SP5393	4223	0.56	112327206.409	2659891.224%	25495323.721	4537590.535%	0.54699	0.375
